Орг\Тех,Ka-Sat,Дискавери (шаттл),United Launch Alliance,GSAT-19,ASM-135 ASAT,GSAT-17,Everts Air,SwissCube,Mitsubishi A6M Zero,Starlink,Jason-3,Аполлон (космическая программа),Dragonfly (космический аппарат),Планк (космическая обсерватория),Virgin Galactic,InSight,Амос-6,Международная космическая станция,Вега (ракета-носитель),OneWeb,United Airlines,Inmarsat-5 F4,Lufthansa,GGS WIND,Артемида (космическая программа),Qatar Airways
SpaceX,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,1.0,3.0,2.0,1.0,1.0,,,1.0
Jet Propulsion Laboratory,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,
Armstrong Flight Research Center,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
Federal Aviation Administration,,,1.0,,,,1.0,,1.0,,,,,,1.0,,,,,,3.0,,,,,
Leonardo,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
US National Aeronautics and Space Administration (NASA),,1.0,2.0,,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,3.0,1.0,2.0,8.0,,,1.0,1.0,
European Space Agency ESA,,,1.0,,,,,1.0,,,1.0,,,,,,,4.0,4.0,1.0,4.0,,,,,
Italian Space Agency (Agenzia Spaziale Italiana),,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Naked Science,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Starlink,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,
Safran,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,
Space Research Center,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,
Roscosmos,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
Kennedy Space Center,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
SpaceNews ,1.0,,1.0,,,,,1.0,,,1.0,,,,,,1.0,,1.0,4.0,3.0,1.0,1.0,,,1.0
UK space agency,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
Blue Origin,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,
United Launch Alliance,,,2.0,,,,,,,,1.0,,,,1.0,,,,,1.0,2.0,,,,,
Marshall Space Flight Center,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,1.0,,,1.0,,
Meggitt PLC,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Guiana Space Center,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,
ClearSpace,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
Virgin Galactic,,,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
Rocket Lab,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
Japan Aerospace Exploration Agency,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,
